schema_version,record_id,resolution_status,source,primary_source,available_sources,source_candidates_count,doi,arxiv_id,openalex_id,canonical_id,title,publication_year,publication_date,venue,document_type,authors,gold_label,is_hard_negative,auto_topic_tags,auto_method_tags,auto_topic_tag_scores,auto_method_tag_scores,manual_topic_tags,manual_method_tags,notes,landing_page_url,pdf_url,has_abstract,citation_count,fulltext_status,fulltext_ref,abstract
2,art_fb43bfff6de9,resolved,openalex,openalex,openalex; arxiv,3,10.48550/arxiv.1906.10893,1906.10893,https://openalex.org/W3047498003,doi:10.48550/arxiv.1906.10893,Privacy-Preserving Blockchain-Based Federated Learning for IoT Devices,2019,2019-06-26,arXiv (Cornell University),preprint,Yang Zhao; Jun Zhao; Linshan Jiang; Rui Tan; Dusit Niyato; Zengxiang Li; Lingjuan Lyu; Yingbo Liu,relevant,False,blockchain; federated_learning; incentives; security_privacy,,"{""blockchain"": 11, ""decentralized_learning"": 0, ""distributed_training"": 0, ""federated_learning"": 10, ""incentives"": 4, ""off_chain"": 0, ""on_chain"": 0, ""parameter_server"": 0, ""security_privacy"": 9, ""survey"": 0, ""zk_proof"": 0}","{""aggregation"": 2, ""committee_consensus"": 0, ""consensus"": 0, ""reputation"": 2, ""verification"": 0}",,,Curated from recent survey/review references for VKR seed expansion,http://arxiv.org/abs/1906.10893,https://arxiv.org/pdf/1906.10893v4,True,54,not_attempted,,"Home appliance manufacturers strive to obtain feedback from users to improve their products and services to build a smart home system. To help manufacturers develop a smart home system, we design a federated learning (FL) system leveraging the reputation mechanism to assist home appliance manufacturers to train a machine learning model based on customers' data. Then, manufacturers can predict customers' requirements and consumption behaviors in the future. The working flow of the system includes two stages: in the first stage, customers train the initial model provided by the manufacturer using both the mobile phone and the mobile edge computing (MEC) server. Customers collect data from various home appliances using phones, and then they download and train the initial model with their local data. After deriving local models, customers sign on their models and send them to the blockchain. In case customers or manufacturers are malicious, we use the blockchain to replace the centralized aggregator in the traditional FL system. Since records on the blockchain are untampered, malicious customers or manufacturers' activities are traceable. In the second stage, manufacturers select customers or organizations as miners for calculating the averaged model using received models from customers. By the end of the crowdsourcing task, one of the miners, who is selected as the temporary leader, uploads the model to the blockchain. To protect customers' privacy and improve the test accuracy, we enforce differential privacy on the extracted features and propose a new normalization technique. We experimentally demonstrate that our normalization technique outperforms batch normalization when features are under differential privacy protection. In addition, to attract more customers to participate in the crowdsourcing FL task, we design an incentive mechanism to award participants."
2,art_87a96ccf30b6,resolved,openalex,openalex,openalex; arxiv,2,10.48550/arxiv.2206.11641,2206.11641,https://openalex.org/W4310698139,doi:10.48550/arxiv.2206.11641,Advancing Blockchain-based Federated Learning through Verifiable Off-chain Computations,2022,2022-06-23,arXiv (Cornell University),preprint,Jonathan Heiss; Elias Grünewald; Nikolas Haimerl; Stefan Schulte; Stefan Tai,relevant,False,blockchain; federated_learning; incentives; off_chain; security_privacy; zk_proof,verification,"{""blockchain"": 13, ""decentralized_learning"": 0, ""distributed_training"": 0, ""federated_learning"": 18, ""incentives"": 8, ""off_chain"": 7, ""on_chain"": 2, ""parameter_server"": 0, ""security_privacy"": 11, ""survey"": 0, ""zk_proof"": 4}","{""aggregation"": 2, ""committee_consensus"": 0, ""consensus"": 0, ""reputation"": 0, ""verification"": 13}",,,Curated from recent survey/review references for VKR seed expansion,http://arxiv.org/abs/2206.11641,https://arxiv.org/pdf/2206.11641v1,True,0,not_attempted,,"Federated learning may be subject to both global aggregation attacks and distributed poisoning attacks. Blockchain technology along with incentive and penalty mechanisms have been suggested to counter these. In this paper, we explore verifiable off-chain computations using zero-knowledge proofs as an alternative to incentive and penalty mechanisms in blockchain-based federated learning. In our solution, learning nodes, in addition to their computational duties, act as off-chain provers submitting proofs to attest computational correctness of parameters that can be verified on the blockchain. We demonstrate and evaluate our solution through a health monitoring use case and proof-of-concept implementation leveraging the ZoKrates language and tools for smart contract-based on-chain model management. Our research introduces verifiability of correctness of learning processes, thus advancing blockchain-based federated learning."
2,art_8d8745ed2701,resolved,openalex,openalex,openalex; arxiv,2,10.48550/arxiv.2403.00873,2403.00873,https://openalex.org/W4392490103,doi:10.48550/arxiv.2403.00873,"Blockchain-empowered Federated Learning: Benefits, Challenges, and Solutions",2024,2024-03-01,arXiv (Cornell University),preprint,Zeju Cai; Jianguo Chen; Yuting Fan; Zibin Zheng; Keqin Li,relevant,False,blockchain; federated_learning; security_privacy; survey,,"{""blockchain"": 11, ""decentralized_learning"": 0, ""distributed_training"": 0, ""federated_learning"": 10, ""incentives"": 2, ""off_chain"": 0, ""on_chain"": 0, ""parameter_server"": 0, ""security_privacy"": 8, ""survey"": 4, ""zk_proof"": 0}","{""aggregation"": 0, ""committee_consensus"": 0, ""consensus"": 0, ""reputation"": 0, ""verification"": 0}",,,Curated from recent survey/review references for VKR seed expansion,http://arxiv.org/abs/2403.00873,https://arxiv.org/pdf/2403.00873v2,True,2,not_attempted,,"Federated learning (FL) is a distributed machine learning approach that protects user data privacy by training models locally on clients and aggregating them on a parameter server. While effective at preserving privacy, FL systems face limitations such as single points of failure, lack of incentives, and inadequate security. To address these challenges, blockchain technology is integrated into FL systems to provide stronger security, fairness, and scalability. However, blockchain-empowered FL (BC-FL) systems introduce additional demands on network, computing, and storage resources. This survey provides a comprehensive review of recent research on BC-FL systems, analyzing the benefits and challenges associated with blockchain integration. We explore why blockchain is applicable to FL, how it can be implemented, and the challenges and existing solutions for its integration. Additionally, we offer insights on future research directions for the BC-FL system."
2,art_72527a7bb0a0,resolved,openalex,openalex,openalex,1,10.3390/app14209459,,https://openalex.org/W4403491331,doi:10.3390/app14209459,Blockchain-Based Federated Learning: A Survey and New Perspectives,2024,2024-10-16,Applied Sciences,article,Wanshan Ning; Y. Zhu; Caixia Song; Hongxia Li; Li Zhu; Jinrong Xie; Tianyu Chen; Tong Xu; Xu Xi; Jin Gao,relevant,False,blockchain; federated_learning; security_privacy; survey,,"{""blockchain"": 17, ""decentralized_learning"": 0, ""distributed_training"": 0, ""federated_learning"": 42, ""incentives"": 2, ""off_chain"": 0, ""on_chain"": 0, ""parameter_server"": 0, ""security_privacy"": 4, ""survey"": 5, ""zk_proof"": 0}","{""aggregation"": 0, ""committee_consensus"": 0, ""consensus"": 0, ""reputation"": 0, ""verification"": 2}",,,Curated from recent survey/review references for VKR seed expansion,https://doi.org/10.3390/app14209459,https://www.mdpi.com/2076-3417/14/20/9459/pdf,True,37,not_attempted,,"Federated learning, as a novel distributed machine learning mode, enables the training of machine learning models on multiple devices while ensuring data privacy. However, the existence of single-point-of-failure bottlenecks, malicious threats, scalability of federated learning implementation, and lack of incentive mechanisms have seriously hindered the development of federated learning technology. In recent years, as a distributed ledger, blockchain has the characteristics of decentralization, tamper-proof, transparency, security, etc., which can solve the issues encountered in the above-mentioned federated learning. Particularly, the integration of federated learning and blockchain leads to a new paradigm, called blockchain-based federated learning (BFL), which has been successfully applied in many application scenarios. This paper aims to provide a comprehensive review of recent efforts on blockchain-based federated learning. More concretely, we propose and design a taxonomy of blockchain-based federated learning models, along with providing a comprehensive summary of the state of the art. Various applications of federated learning based on blockchain are introduced. Finally, we expand on current trends and provide new perspectives pertaining to this new and exciting development in the field."
2,art_c17b1d5e884b,resolved,openalex,openalex,openalex,1,10.1007/s10462-022-10271-9,,https://openalex.org/W4296045111,doi:10.1007/s10462-022-10271-9,Securing federated learning with blockchain: a systematic literature review,2022,2022-09-16,Artificial Intelligence Review,article,Attia Qammar; Ahmad Karim; Huansheng Ning; Jianguo Ding,relevant,False,blockchain; federated_learning; security_privacy; survey,,"{""blockchain"": 17, ""decentralized_learning"": 0, ""distributed_training"": 0, ""federated_learning"": 22, ""incentives"": 2, ""off_chain"": 0, ""on_chain"": 0, ""parameter_server"": 0, ""security_privacy"": 14, ""survey"": 10, ""zk_proof"": 0}","{""aggregation"": 0, ""committee_consensus"": 0, ""consensus"": 0, ""reputation"": 0, ""verification"": 2}",,,Curated from recent survey/review references for VKR seed expansion,https://doi.org/10.1007/s10462-022-10271-9,https://link.springer.com/content/pdf/10.1007/s10462-022-10271-9.pdf,True,143,not_attempted,,"Federated learning (FL) is a promising framework for distributed machine learning that trains models without sharing local data while protecting privacy. FL exploits the concept of collaborative learning and builds privacy-preserving models. Nevertheless, the integral features of FL are fraught with problems, such as the disclosure of private information, the unreliability of uploading model parameters to the server, the communication cost, etc. Blockchain, as a decentralized technology, is able to improve the performance of FL without requiring a centralized server and also solves the above problems. In this paper, a systematic literature review on the integration of Blockchain in federated learning was considered with the analysis of the existing FL problems that can be compensated. Through carefully screening, most relevant studies are included and research questions cover the potential security and privacy attacks in traditional federated learning that can be solved by blockchain as well as the characteristics of Blockchain-based FL. In addition, the latest Blockchain-based approaches to federated learning have been studied in-depth in terms of security and privacy, records and rewards, and verification and accountability. Furthermore, open issues related to the combination of Blockchain and FL are discussed. Finally, future research directions for the robust development of Blockchain-based FL systems are proposed."
2,art_babf9d6ddb38,resolved,openalex,openalex,openalex; arxiv,2,10.48550/arxiv.2308.04604,2308.04604,https://openalex.org/W4385749934,doi:10.48550/arxiv.2308.04604,A Survey on Decentralized Federated Learning,2023,2023-08-08,arXiv (Cornell University),preprint,"Edoardo Gabrielli; Di Pietro, Anthony; Fenoglio, Dario; Pica, Giovanni; Tolomei, Gabriele",relevant,False,decentralized_learning; federated_learning; security_privacy; survey,,"{""blockchain"": 2, ""decentralized_learning"": 7, ""distributed_training"": 0, ""federated_learning"": 14, ""incentives"": 2, ""off_chain"": 0, ""on_chain"": 0, ""parameter_server"": 0, ""security_privacy"": 6, ""survey"": 9, ""zk_proof"": 0}","{""aggregation"": 2, ""committee_consensus"": 0, ""consensus"": 0, ""reputation"": 0, ""verification"": 0}",,,Curated from recent survey/review references for VKR seed expansion,http://arxiv.org/abs/2308.04604,https://arxiv.org/pdf/2308.04604v2,True,21,not_attempted,,"Federated learning (FL) enables collaborative training without pooling raw data, but standard FL relies on a central coordinator, which introduces a single point of failure and concentrates trust in the orchestration infrastructure. Decentralized federated learning (DFL) removes the coordinator and replaces client-server orchestration with peer-to-peer coordination, making learning dynamics topology-dependent and reshaping the associated security, privacy, and systems trade-offs. This survey systematically reviews DFL methods from 2018 through early 2026 and organizes them into two architectural families: traditional distributed FL and blockchain-based FL. We then propose a unified, challenge-driven taxonomy that maps both families to the core bottlenecks they primarily address, and we summarize prevailing evaluation practices and their limitations, exposing gaps in the literature. Finally, we distill lessons learned and outline research directions, emphasizing topology-aware threat models, privacy notions that reflect decentralized exposure, incentive mechanisms robust to manipulation, and the need to explicitly define whether the objective is a single global model or personalized solutions in decentralized settings."
2,art_c77480ddb3d3,resolved,openalex,openalex,openalex,1,10.48550/arxiv.2306.01603,2306.01603,https://openalex.org/W4379474637,doi:10.48550/arxiv.2306.01603,Decentralized Federated Learning: A Survey and Perspective,2023,2023-06-02,arXiv (Cornell University),preprint,"Liangqi Yuan; Ziran Wang; Lichao Sun; Philip S. Yu; Brinton, Christopher G.",relevant,False,decentralized_learning; federated_learning; survey,,"{""blockchain"": 0, ""decentralized_learning"": 3, ""distributed_training"": 0, ""federated_learning"": 10, ""incentives"": 0, ""off_chain"": 0, ""on_chain"": 0, ""parameter_server"": 0, ""security_privacy"": 2, ""survey"": 9, ""zk_proof"": 0}","{""aggregation"": 0, ""committee_consensus"": 0, ""consensus"": 0, ""reputation"": 0, ""verification"": 0}",,,Curated from recent survey/review references for VKR seed expansion,http://arxiv.org/abs/2306.01603,https://arxiv.org/pdf/2306.01603,True,10,not_attempted,,"Federated learning (FL) has been gaining attention for its ability to share knowledge while maintaining user data, protecting privacy, increasing learning efficiency, and reducing communication overhead. Decentralized FL (DFL) is a decentralized network architecture that eliminates the need for a central server in contrast to centralized FL (CFL). DFL enables direct communication between clients, resulting in significant savings in communication resources. In this paper, a comprehensive survey and profound perspective are provided for DFL. First, a review of the methodology, challenges, and variants of CFL is conducted, laying the background of DFL. Then, a systematic and detailed perspective on DFL is introduced, including iteration order, communication protocols, network topologies, paradigm proposals, and temporal variability. Next, based on the definition of DFL, several extended variants and categorizations are proposed with state-of-the-art (SOTA) technologies. Lastly, in addition to summarizing the current challenges in the DFL, some possible solutions and future research directions are also discussed."
2,art_fc680939f94f,resolved,openalex,openalex,openalex,1,10.1109/mwc.01.1900525,2005.05752,https://openalex.org/W3025412407,doi:10.1109/mwc.01.1900525,A Secure Federated Learning Framework for 5G Networks,2020,2020-08-01,IEEE Wireless Communications,article,Yi Liu; Jialiang Peng; Jiawen Kang; Abdullah M. Iliyasu; Dusit Niyato; Ahmed A. Abd El‐Latif,relevant,False,blockchain; federated_learning; security_privacy,aggregation,"{""blockchain"": 6, ""decentralized_learning"": 0, ""distributed_training"": 0, ""federated_learning"": 10, ""incentives"": 0, ""off_chain"": 0, ""on_chain"": 0, ""parameter_server"": 0, ""security_privacy"": 33, ""survey"": 0, ""zk_proof"": 0}","{""aggregation"": 8, ""committee_consensus"": 0, ""consensus"": 0, ""reputation"": 0, ""verification"": 0}",,,Curated from recent survey/review references for VKR seed expansion,https://doi.org/10.1109/mwc.01.1900525,,True,278,not_attempted,,"Federated learning (FL) has recently been proposed as an emerging paradigm to build machine learning models using distributed training datasets that are locally stored and maintained on different devices in 5G networks while providing privacy preservation for participants. In FL, the central aggregator accumulates local updates uploaded by participants to update a global model. However, there are two critical security threats: poisoning and membership inference attacks. These attacks may be carried out by malicious or unreliable participants, resulting in the construction failure of global models or privacy leakage of FL models. Therefore, it is crucial for FL to develop security means of defense. In this article, we propose a blockchain-based secure FL framework to create smart contracts and prevent malicious or unreliable participants from being involved in FL. In doing so, the central aggregator recognizes malicious and unreliable participants by automatically executing smart contracts to defend against poisoning attacks. Further, we use local differential privacy techniques to prevent membership inference attacks. Numerical results suggest that the proposed framework can effectively deter poisoning and membership inference attacks, thereby improving the security of FL in 5G networks."
2,art_5177dd9e71b0,resolved,openalex,openalex,openalex,1,10.1109/wcncw49093.2021.9420026,,https://openalex.org/W3161757518,doi:10.1109/wcncw49093.2021.9420026,Blockchain Empowered Reliable Federated Learning by Worker Selection: A Trustworthy Reputation Evaluation Method,2021,2021-03-29,,article,Qinnan Zhang; Qingyang Ding; Jianming Zhu; Dandan Li,relevant,False,blockchain; federated_learning; incentives,reputation,"{""blockchain"": 5, ""decentralized_learning"": 0, ""distributed_training"": 0, ""federated_learning"": 18, ""incentives"": 9, ""off_chain"": 0, ""on_chain"": 0, ""parameter_server"": 0, ""security_privacy"": 2, ""survey"": 0, ""zk_proof"": 0}","{""aggregation"": 0, ""committee_consensus"": 0, ""consensus"": 0, ""reputation"": 9, ""verification"": 0}",,,Curated from recent survey/review references for VKR seed expansion,https://doi.org/10.1109/wcncw49093.2021.9420026,,True,36,not_attempted,,"Federated learning is a distributed machine learning framework that enables distributed model training with local datasets, which can effectively protect the data privacy of workers (i.e., intelligent edge nodes). The majority of federated learning algorithms assume that the workers are trusted and voluntarily participate in the cooperative model training process. However, the situation in practical application is not consistent with this. There are many challenges such as worker selection schemes for participating workers, which hamper the widespread adoption of federated learning. The existing research about worker selection scheme focused on multi-weight subjective logic model to calculate reputation value and adopted contract theory to motivate workers, which may exist subjective judgmental factors and unfair profit distribution. To address above challenges, we calculate the reputation value by model quality parameters to evaluate the reliability of workers. Blockchain is designed to store historical reputation value that realized tamperresistance and non-repudiation. Numerical results indicate that the worker selection scheme can improve the accuracy of the model and accelerate the model convergence."
2,art_db47e69c149a,resolved,openalex,openalex,openalex,1,10.1016/j.dcan.2022.05.006,,https://openalex.org/W4280623180,doi:10.1016/j.dcan.2022.05.006,A blockchain-based audit approach for encrypted data in federated learning,2022,2022-05-13,Digital Communications and Networks,article,Zhe Sun; Junping Wan; Lihua Yin; Zhiqiang Cao; Tianjie Luo; Bin Wang,relevant,False,blockchain; federated_learning; security_privacy,aggregation,"{""blockchain"": 5, ""decentralized_learning"": 0, ""distributed_training"": 0, ""federated_learning"": 14, ""incentives"": 0, ""off_chain"": 0, ""on_chain"": 0, ""parameter_server"": 0, ""security_privacy"": 14, ""survey"": 0, ""zk_proof"": 0}","{""aggregation"": 4, ""committee_consensus"": 0, ""consensus"": 0, ""reputation"": 0, ""verification"": 0}",,,Curated from recent survey/review references for VKR seed expansion,https://doi.org/10.1016/j.dcan.2022.05.006,,True,38,not_attempted,,"The development of data-driven artificial intelligence technology has given birth to a variety of big data applications. Data has become an essential factor to improve these applications. Federated learning, a privacy-preserving machine learning method, is proposed to leverage data from different data owners. It is typically used in conjunction with cryptographic methods, in which data owners train the global model by sharing encrypted model updates. However, data encryption makes it difficult to identify the quality of these model updates. Malicious data owners may launch attacks such as data poisoning and free-riding. To defend against such attacks, it is necessary to find an approach to audit encrypted model updates. In this paper, we propose a blockchain-based audit approach for encrypted gradients. It uses a behavior chain to record the encrypted gradients from data owners, and an audit chain to evaluate the gradients’ quality. Specifically, we propose a privacy-preserving homomorphic noise mechanism in which the noise of each gradient sums to zero after aggregation, ensuring the availability of aggregated gradient. In addition, we design a joint audit algorithm that can locate malicious data owners without decrypting individual gradients. Through security analysis and experimental evaluation, we demonstrate that our approach can defend against malicious gradient attacks in federated learning."
